BSC_FECHA,SYR4_GROSS_SALES,SYR4_GROSS_SALES_CMP,SYR4_GROSS_SAL_LY,SYR5_GROSS_SALES,SYR5_GROSS_SAL_LY,SMG_OVERALL,SMG_COUNT,SMG_DEF_ZONE,SYR_GROSS_SALES,SYR_NET_SALES,SYR_NET_SALES_CMP_LY,SYR_NET_SALES_LW,SYR_NET_SALES_LY,SYR_NET_SALES_CMP_LY2,SYR_TRANS,SYR_TRANS_CMP_LY,SYR_TRANS_LY,SYR_CREW_HR,SYR_MNGR_HR,SYR_GUID_HR,SYR_CASH_MM,SYR_LTN_SAL,SYR_EMPL_MEAL,SYR_MNGR_MEAL,SYR_LABOR,SYR_LABOR_SALES_REF,SYR_MNGR_VOID_AMT,SYR_REG_VOID_AMT,SYR_COUPONS,SYR_DISCOUNTS,SYR_SERVICE_TIME,SYR_NET_SALES_HR,SYR_TRANS_HR,SYR2_GROSS_SALES,SYR2_NET_SALES,UNO,SYR3_GROSS_SALES,SYR3_GROSS_SALES_CMP,SYR3_GROSS_SAL_LY,FECHA_REF,DIVISION,AREA,DISTRICT,STORE,INFS_VTA_ACTUAL
4.- Sun 03/14/2021,35303.24,35303.24,32690,334022.84,306046,,,,4814.72,4764.25,4764.25,4684,3721,4764.25,475,475,453,100.33,0,104.6,15,1043,6.39,15.87,1042,4814.72,0,67.57,10.84,17.37,275.2,4764.25,475,0,0,1,35303.24,35303.24,32690,21P03W1 - 03/14/2021,DIVISION 30,Area  023,Distrito  033,01700 - Nw 2nd Avenue (Are-D33),4764.25
4.- Sun 03/14/2021,35606.36,35606.36,34032,339446.36,332909,0,1,1,4151.54,4080.91,4080.91,4474,3710,4080.91,389,389,394,115.58,0,110.91,-24,524,0,16.28,1308,4151.54,0,72.88,25.61,28.74,296.77,4080.91,389,0,0,1,35606.36,35606.36,34032,21P03W1 - 03/14/2021,DIVISION 30,Area  023,Distrito  035,01701 - The Falls (Are-D35),4080.91
4.- Sun 03/14/2021,34899.91,34899.91,30959,320281.83,289300,,,,5261.85,5202.03,5202.03,4384,3832,5202.03,454,454,397,96.15,0,103.1,0,1492,8.34,13.08,1139,5261.85,0,82.11,26.34,12.06,392.12,5202.03,454,0,0,1,34899.91,34899.91,30959,21P03W1 - 03/14/2021,DIVISION 30,Area  023,Distrito  037,01702 - Dog Track (Are-D37),5202.03
4.- Sun 03/14/2021,23125.63,23125.63,22019,219805.78,205754,,,,2618.66,2583.07,2583.07,2380,2259,2583.07,266,266,290,62.82,0,89.45,12,573,7.14,4.39,632,2618.66,0,3.78,10.19,13.87,346.93,2583.07,266,0,0,1,23125.63,23125.63,22019,21P03W1 - 03/14/2021,DIVISION 30,Area  023,Distrito  030,01703 - 163rd Street (Are-D30),2583.07
4.- Sun 03/14/2021,25841.07,25841.07,25666,250465.05,247790,1,1,0,3475.99,3423.64,3423.64,2892,3138,3423.64,341,341,353,80.23,0,101.3,5,653,12.85,25.83,1042,3475.99,0,29.92,13.67,0,188.22,3423.64,341,0,0,1,25841.07,25841.07,25666,21P03W1 - 03/14/2021,DIVISION 30,Area  021,Distrito  031,01706 - Mall Of The Americas (Are-D31),3423.64
4.- Sun 03/14/2021,42512.52,42512.52,39008,409857.94,375046,,,,6033.66,5949.04,5949.04,5420,5058,5949.04,533,533,502,105.02,0,117.42,-6,866,0,0,994,6033.66,14.74,58.47,49.49,35.13,595.43,5949.04,533,0,0,1,42512.52,42512.52,39008,21P03W1 - 03/14/2021,DIVISION 30,Area  021,Distrito  063,01708 - North Kendall (Are-D63),5949.04
4.- Sun 03/14/2021,26965.4,26965.4,25564,256066.83,236554,,,,3368.8,3323.33,3323.33,3700,2547,3323.33,309,309,250,84.7,0,95.37,-1,490,0,12.76,862,3368.8,0,9.76,23.75,8.96,228.71,3323.33,309,0,0,1,26965.4,26965.4,25564,21P03W1 - 03/14/2021,DIVISION 30,Area  021,Distrito  004,01710 - Hialeah (Are-D4),3323.33
4.- Sun 03/14/2021,34067.33,34067.33,34051,244319.1,233000,,,,4682.16,4640.24,4640.24,5006,4357,4640.24,428,428,471,103.72,0,110.69,-30,929,4.45,0,1138,4682.16,13.57,19.11,23.9,13.57,467.7,4640.24,428,0,0,1,34067.33,34067.33,34051,21P03W1 - 03/14/2021,DIVISION 30,Area  023,Distrito  037,01711 - Brickell (Are-D37),4640.24
4.- Sun 03/14/2021,37077.9,37077.9,36375,346107.98,310819,,,,4548.09,4501.04,4501.04,3929,3381,4501.04,417,417,391,83.2,0,102.78,-19,959,0,25,909,4548.09,0,18.36,18.46,3.59,259.37,4501.04,417,0,0,1,37077.9,37077.9,36375,21P03W1 - 03/14/2021,DIVISION 30,Area  023,Distrito  037,02336 - Nw 27th Avenue (Are-D37),4501.04
4.- Sun 03/14/2021,26705.56,26705.56,26554,275836.98,270961,,,,3241.82,3186.37,3186.37,3172,2478,3186.37,325,325,304,95.93,0,90.67,-1,276,7.25,7.69,886,3241.82,0,7.26,23.95,16.56,193.39,3186.37,325,0,0,1,26705.56,26705.56,26554,21P03W1 - 03/14/2021,DIVISION 30,Area  013,Distrito  002,02337 - E Boynton Beach (Are-D2),3186.37
